Datum;Vecka;Dag;EC HBG FEU19e;EC HBG WIN19e;EC Malmö Java19e;EC Malmö Java20e;EC Malmö MVT19;EC FEU20e;HAK OPA20;HAK OPA20X;HAK OPA21;HAK PYAI1;HKR DAO;IHM DAS20;IHM GDAS19;DEV21M;FRK20G;FRK20S;FWK20G;FWK20S;TTK20G;TTK21G;MI DAN20;MI DCD20M;MI FED20m;MI FED21m;MI OLM20;MI OLM20D;MI OLM21m;MI WAN20;MI WAN21m;MI WCM20;MI WCM21;Newton .NET19n;Newton .NET20n;Newton .NET21n;Newton Java19n;Newton Java20n;Newton Java21n;Newton Krav21n;PlusHS Java19p;PlusHS Java20gbg;PlusHS Java20p;PlusHS Java21gbg;PlusHS Java21h;PlusHS Java21v;PlusHS Net20gbg;Övrigt Upptagen
2020-09-15;38;tis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ML d;;;;BB;;;;;TF;;;;;
2020-09-16;38;ons;JW;;AB;;;;;;;;;;;;;;;;;;;;;;;;;NH;;;;;;;ML d;BB d;;;TF;;;;;;;
2020-09-17;38;tor;;;;;BB;;JW;;;;;;;;;;;;;;;;;;NH d;;;;;;;ML d;;;;;;;;;TF;;;;;
2020-09-18;38;fre;BB;;;;TF;;JW d;;;;;;;;;;;;;;;;;;;;;NH;;;;ML d;;;ML d;;;;;;;;;;;
2020-09-19;38;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-20;38;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-21;39;mån;;;AB;;;;;;;;;;;;;;;;;;;;;;;;;NH;;;;;;;ML d;BB d;;;TF;;;;;;;
2020-09-22;39;tis;;;;;BB;;JW;;;;;;;;;;;;;;;;;;;;;;;;;ML d;;;;;;;;;TF;;;;;
2020-09-23;39;ons;;;AB;;;;;;;;;;;;;;;;;;;;;;;;;NH;;;;ML d;;;ML d;JW d;;;TF;;;;;;;
2020-09-24;39;tor;;;;;BB;;JW d;;;;;;;;;;;;;;;;;;;;;;;;;;;;ML JW;;;;;;TF;;;;;
2020-09-25;39;fre;;;AB (9-12);;;;JW d;;;;;;;;;;;;;;;;;;BB d;;;;;;;ML JW;;;;;;;;;;;;;;
2020-09-26;39;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-27;39;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-28;40;mån;;;AB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JW ML;;;TF;;;;;;;
2020-09-29;40;tis;;;;;;;NH d;;;;;BB d;;;;;;;;;;;;;TK;;;;;;;;;;;JW ML d;;;;;TF;;;;;
2020-09-30;40;ons;;;AB;;;;;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;ML (JW);;;TF;;;;;;;
2020-10-01;40;tor;;;;;;;;;;;;;;;;;;;;;;;;;BB d;;;NH;;;;;;;;;;;;;TF;;;;;
2020-10-02;40;fre;;;;;;;JW;;;;;BB d;;;;;;;;;;;;;MN;;;;;;;;;;;;;;;;;;;;;
2020-10-03;40;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-04;40;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-05;41;mån;;;TF;;;;;;;;;;;;;;;;;;;;;;;;;BB;;;;;;;;JW;;;;;;;;;;
2020-10-06;41;tis;;;;;;;NH d;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;
2020-10-07;41;ons;;;;;;;;;;;;BB d;;;;;;;;;;;;;;;;AB;;;;;;;;ML d;;;TF;;;;;;;
2020-10-08;41;tor;;;;;;;JW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;
2020-10-09;41;fre;;;;;;;JW d;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;;;
2020-10-10;41;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-11;41;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-12;42;mån;;;TF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB d;;;JW + AS;;;;;;;
2020-10-13;42;tis;;;;;;;NH;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;ML;;;;;TF;;;;;
2020-10-14;42;ons;;;TF + MN;;;;;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;;;;AS;;;;;;;
2020-10-15;42;tor;;;;;;;;;;;;;;;;;;;;;;;;;BB d;;;AB d;;;;;;;;;;;;;TF;;;;;
2020-10-16;42;fre;;;JW + MN;;;;NH d;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-17;42;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-18;42;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-19;43;mån;;;TF;;;;;;;;;;;;;;;;;;;;;;;;;AB;;;;;;;;BB;;;JW;;;;;;;
2020-10-20;43;tis;;;;;;;JW d;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;ML d;;;;;TF;;;;;
2020-10-21;43;ons;;;TF;;;;;;;;;;;;;;;;;;;;;;;;;AB d;;;;;;;;ML d;;;AS;;;;;;;
2020-10-22;43;tor;;;;;;;JW d;;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;
2020-10-23;43;fre;;;TF d (9–12);;;;NH;;;;;;;;;;;;;;;;;;MN d;;;;;;;;;;;;;;;;;;;;;
2020-10-24;43;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-25;43;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-26;44;mån;;;TF;;;;;;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;ML d;;;AS;;;;;;;
2020-10-27;44;tis;;;;;;;JW;;;;;;;;;;;;;;;;;;MN;;;;;;;;;;;ML;;;;;TF;;;;;
2020-10-28;44;ons;;;TF;;;;;;;;;;;;;;;;;;;;;;MN d;;;;;;;;;;;;;;AS;;;;;;;
2020-10-29;44;tor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;
2020-10-30;44;fre;;;;;;MN[9-12                               ];JW d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10-31;44;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-01;44;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-02;45;mån;;;TF;;;MN[8.30-12.30                               ];;;;;;;;;;;;;;;;;;;;;;AB d;;BB d;;;;;;ML;;;AS;;;;;;;
2020-11-03;45;tis;;;;;;;JW d;;;;;;;;;;;;;;;;;;;;;;;BB + NH d;;;;;;ML d;;;;;TF;;;;;
2020-11-04;45;ons;;;TF;;;;;;;;;;;;;;;;;;;;;;;;;AB d;;;;;;;;BB d;;;AS;;;;;;;
2020-11-05;45;tor;;;;;;;JW d;;;;;;;;;;;;;;;;;;;;;;;NH d;;;;;;;;;;;TF;;;;;
2020-11-06;45;fre;;;TF;;;;NH d;;;;;;;;;;;;;;;;;;BB d;;;AB d;;;;;;;;;;;;;;;;;;
2020-11-07;45;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-08;45;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-09;46;mån;;;TF;;;MN[8.30-12.30                               ];;;;;;;BB d;;;;;;;;;;;;;;;;;NH d;;;;;;ML;;;JW;;;;;;;
2020-11-10;46;tis;;;;;;;JW d;;;;;;;;;;;;;;;;;;;;;;;NH d;;;;;;ML d;;;;;TF;;;;;
2020-11-11;46;ons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ML d;;;JW;;;;;;;
2020-11-12;46;tor;;;JW;;;;;;;;;;;;;;;;;;;;;;;;;;;NH d;;;;;;;;;;;TF;;;;;
2020-11-13;46;fre;;;;;;;NH d;;;;;;;;;;;;;;;;;;BB d;;;;;;;;;;;;;;;;;;;;;
2020-11-14;46;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-15;46;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-16;47;mån;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB[9.45–16 Peter 9–9.45                               ];;;;;;ML d + BB[9–9.45                               ];;;;;;;;;;JW[Kan inte föreläsa, ska till doktorn med barn                               ]
2020-11-17;47;tis;;;JW;;;;;;;;;;;;;;;;;;;;BB + MN;;;;;AB d;;NH d;;;;;;;;;;;TF;;;;;
2020-11-18;47;ons;;;;;;;ML d;;;;;;;;;;;;;;;;MN d;;;;;;;;;;;;;BB;;;JW;;;;;;;
2020-11-19;47;tor;;;JW;;;;ML d;;;;;;;;;;;;;;;;;;;;;;;NH d;;;;;;;;;;;TF;;;;;
2020-11-20;47;fre;;;TF;;;;ML d;;;;;;;;;;;;;;;;MN d;;;;;BB b;;;;;;;;;;;JW;;;;;;;
2020-11-21;47;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-22;47;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-23;48;mån;;;;;;;;;;;;;;;;;;;;;;;;;;;;AB + BB d;;NH d;;;;;;;;;JW;;;;;;;
2020-11-24;48;tis;;;JW;;;;ML d;;;;;;;;;;;;;;;;MN + BB d;;;;;AB + BB d;;NH d;;;;;;;;;;;;;;;;BB[Boka ej in undervisning                               ]
2020-11-25;48;ons;;;;;;;;;;;;;;;;;;;;;;;MN d;;;;;;;;;;;;;;;;JW + BB[Gästa ca 1-2h angående Agil ekonomi etc                               ];;TF;;;;;
2020-11-26;48;tor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB d;;;;;;;;;;;TF;;;;;
2020-11-27;48;fre;;;TF;;;;ML d;;;;;;;;;;;;;;;;MN + BB d;;;;;;;;;;;;;;;;;;;;;;;
2020-11-28;48;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-29;48;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-30;49;mån;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NH d;;;;;;;;;;;;;;;;JW[Kan inte föreläsa                               ]
2020-12-01;49;tis;;;JW;;;;ML d;;;;;;;;;;;;;;;;MN d;;;;;BB d;;NH d;;;;;;;;;;;TF;;;;;
2020-12-02;49;ons;;;;;;;;;;;;;;;;;;;;;;;MN d;;;;;BB d;;;;;;;;;;;JW;;;;;;;
2020-12-03;49;tor;;;JW;;;;ML d;;;;;;;;;;;;;;;;;;;;;;;BB d;;;;;;;;;;;TF;;;;;
2020-12-04;49;fre;;;;;;;ML d;;;;;;;;;;;;;;;;MN d;;;;;BB d;;;;;;;;;;;JW;;;;;;;
2020-12-05;49;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-06;49;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-07;50;mån;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB[OBS! 8.30-9.00 Newton SYSJM2 provgenomgång                               ];;NH;;;;;;;;;JW;;;;;;;
2020-12-08;50;tis;;;JW;;;;;;;;;;;;;;;;;;;;BB + MM d;;;;;;;NH d;;;;;;;;;;;TF;;;;;
2020-12-09;50;ons;;;;;;;;;;;;;;;;;;;;;;;MN d;;;;;;;;;;;;;;;;JW;;;;;;;
2020-12-10;50;tor;;;JW;;;;ML d;;;;;;;;;;;;;;;;;;;;;;;BB d;;;;;;;;;;;TF;;;;;
2020-12-11;50;fre;;;;;;;ML + JW d;;;;;;;;;;;;;;;;BB d;;;;;;;;;;;;;;;;;;;;;;;MN[LIA-rapport kl 11.10                               ]
2020-12-12;50;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-13;50;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-14;51;mån;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;XX (flytta?);;;;;;;;;TF;;JW;;;;;
2020-12-15;51;tis;;;JW;;;;ML d;;;;;;;;;;;;;;;;BB;;;;;;;NH d;;;;;;;;;;;;;;TF[funkar den här >dagen? flyttad från måndag                               ];;
2020-12-16;51;ons;BB;;;;;;;;;;;;;;;;;;;;;;MN d;;;;;;;;;;;;;;;;TF;;;;;;;
2020-12-17;51;tor;BB;;JW;;;;ML d;;;;;;;;;;;;;;;;;;;;;;;NH d;;;;;;;;;;;;;;TF;;
2020-12-18;51;fre;BB;;;;;;ML d;;;;;;;;;;;;;;;;MN d;;;;;;;;;;;;;;;;;;JW[Funkar den här >dagen? Flyttad från torsdag                               ];;;;;
2020-12-19;51;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-20;51;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-21;52;mån;BB[Gå igenom de egenstudier som ska göras under mellandagarna                               ];;;;;;ML d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;JW[Funkar den här >dagen? Flyttad från tisdag                               ];;;;;
2020-12-22;52;tis;;;;;;;ML + JW d;;;;;;;;;;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;TF;;
2020-12-23;52;ons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JW[Kan inte föreläsa t o m v1                               ]
2020-12-24;52;tor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-25;52;fre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-26;52;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-27;52;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-28;53;mån;;;;;;;;;;;;;;;;;;;;;MN;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-29;53;tis;;;;;;;;;;;;;;;;;;;;;MN;;;;;;;;;;;;;;;;;;;;;;;TF + MS;;
2020-12-30;53;ons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12-31;53;tor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-01;53;fre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-02;53;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-03;53;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-04;1;mån;;;;;;;NH;;;;;;;;;;;;;;BB;;MN;;;;;;;MI;;;;;;;;;TF;;JW[Flyttat från tis, Handledning med barn hemma + MS                               ];;;;;
2021-01-05;1;tis;BB;;JW[Handledning med barn hemma                               ];;;;;NH;;;;;;;;;;;;;;;BB;;;;;;;MI;;;;;;;;;;;;;;ML;;TF
2021-01-06;1;ons;H;;E;L;G;D;A;G;;;;H;E;;;;;;;;L;;L;;G;;;D;;A;;G;H;;E;L;;;G;;D;;;A;;G
2021-01-07;1;tor;BB;;JW[Handledning med barn hemma                               ];;;;NH;;;;;;;;;;;;;;;;;;;;;;;MI;;;;;;;;;;;;;;ML + MS;;TF
2021-01-08;1;fre;;;;;;;;NH;;;;;;;;;;;;;;;BB;;;;;;;;;;;;;;;;TF;;JW[Flyttat från tis, Handledning med barn hemma + MS                               ];;;;;
2021-01-09;1;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-10;1;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JW[Kan inte föreläsa t o m v1                               ]
2021-01-11;2;mån;BB;;;;;;NH;;;;;;;;;;;;;;;;;;;;;;;MI;;;;;ML;;;;;;MS;;;;;TF
2021-01-12;2;tis;;;XX[inställt                               ];ML;;;Bengt;NH;;;;;;;;;;;;;;;;;;JB;;;;MI;;BB;;;;;;;;;;;;MS + TF;;
2021-01-13;2;ons;;;;;;;;Bengt;;;;;;;;;;;;;BB;;NH;;;;;;;;;;;;ML;;;;TF;;MS;;;;;
2021-01-14;2;tor;;;XX[flyttad till fredag                               ];ML;;;Bengt;;;;;;;;;;;;;;;;NH;;;JB;;;;PJ;;BB;;;;;;;;;;;;MS;;TF
2021-01-15;2;fre;;;BB;;;;;Bengt;;;;;;;;;;;;;;;MS;;;;;;;;;;;;JW;;;;TF;;;;;;;
2021-01-16;2;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-17;2;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JW[Sjuk + VAB - prel hela veckan                               ]
2021-01-18;3;mån;;BB[3h                               ];JW;;;;Bengt;;;;;;;;;;;;;;;;;;;JB;;;;MI;;;;;;;;;;TF;;;;;;
2021-01-19;3;tis;;;inställt[ML sjuk                               ];JW;;;;Bengt;;;;;;;;;;;;;;;NH;;;JB;;;;MI;;BB;;;;;;;;;MS;;;;;TF[möten + ML *sjuk                               ]
2021-01-20;3;ons;;;;ML;;;Bengt;;;;;;;;;;;;;;;;NH;;;;;;;;;;;;JW;;;;TF;BB;;;;MS;;
2021-01-21;3;tor;;BB[6h                               ];;;;;;Bengt;;;;;;;;;;;;;;;;;;JB;;;;PJ;;ML;;;;;;;;;JW;;;TF;;
2021-01-22;3;fre;;;;;;;Bengt;;;;;;;;;;;;;;;;MS;;;;;;;;;ML;;;JW[Behöver starta 10                               ];;;;TF;;;;;;;
2021-01-23;3;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-24;3;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JW[Tandläkaren fredag - klar 10:00                               ]
2021-01-25;4;mån;;BB[6h                               ];;;;;;Bengt;;;;;;;;;;;;;;;;;;JB;;;;MI;;;;;ML;;;;;TF;;;;;;
2021-01-26;4;tis;;;ML;JW;;;Bengt;;;;;;;;;;;;;;;;NH;;;JB;;;;MI;;BB;;;;;;;;;MS;;;TF;;
2021-01-27;4;ons;;;JW;ML;;;;Bengt;;;;;;;;;;;;;;;MS;;;;;;;;;;;;;;;;BB;TF;;;;;;
2021-01-28;4;tor;;;;;;;Bengt;;;;;;;;;;;;;;;;;;;JB;;;;MI;;;;;ML;;;;;;JW;;;MS;;TF
2021-01-29;4;fre;;;;;;;;Bengt;;;;;;;;;;;;;;JB[v1,2,3,4:80                               ];MS;;;;;;;;;BB;;;JW;;;;TF;;;;;;;
2021-01-30;4;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-31;4;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-01;5;mån;;;ML;JW;;;Bengt;;;;;;;;;;;;;;;;;;;;;;;MI;;;;;;;;;;;;;;;;TF[tandhygienist kl. 13.00                               ]
2021-02-02;5;tis;;BB[6h                               ];;;;;;Bengt;;;;;;;;;;;;;;;NH;;;;;;;;;ML;;;;;;;;;JW;;;MS;;TF[semester + möte Peter 16.00                               ]
2021-02-03;5;ons;;;;;;;Bengt;;;;;;;;;;;;;;;;NH;;;;;;;MI;;ML;;;JW;;;;;BB;;;;;;TF[semester                               ]
2021-02-04;5;tor;;;JW;ML;;;;Bengt;;;;;;;;;;;;;;;;;;;;;;MI;;;;;;;;;;;MS;;;TF;;
2021-02-05;5;fre;;;;;;;Bengt;;;;;;;;;;;;;;;;MS;;;;;;;;;BB;;;ML;;;;;TF;;;;;;
2021-02-06;5;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-07;5;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-08;6;mån;;BB[6h                               ];;;;;;Bengt;;;;;;;;;;;;;;;;;;;;;;MI;;;;;JW;;;;;TF;;;;;;
2021-02-09;6;tis;;;ML;;;;Bengt;;;;;;;;;;;;;;;;NH;;;;;;;MI;;BB;;;;;;;;;JW;;;;;
2021-02-10;6;ons;;;;JW;;;;Bengt;;;;;;;;;;;;;;;MS;;;;;;;;;;;;ML;;;;;BB;;;;TF;;
2021-02-11;6;tor;;BB[4h                               ];;ML;;;Bengt;;;;;;;;;;;;;;;;;;;;;;;MI;;;;;;;;;;;JW;;;MS;;TF[semester                               ]
